NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
36040,"CRACKER BARREL,MACARONI N' CHS",194,194,6.49,15.61,,375,145,18,175,1 serving,149,1 cup
36609,"CRACKER BARREL,MACARONI N' CHS PLATE,FROM KID'S MENU",192,192,6.46,15.58,,374,146,16,257,1 serving,149,1 cup
36026,"CRACKER BARREL,ONION RINGS,THICK-CUT",327,327,4.78,40.95,,463,19,,261,1 serving,,
36607,"CRACKER BARREL,STEAK FRIES",255,255,3.26,30.87,0.9,43,19,0,198,1 serving,,
18236,CRACKER MEAL,383,383,9.3,80.9,0,16,23,0,28.35,1 oz,115,1 cup
18214,"CRACKERS,CHEESE,REGULAR",489,489,10.93,59.42,0,973,136,3,14.2,.5 oz,62,"1 cup, bite size"
18434,"CRACKERS,CHS,LO NA",503,503,10.1,58.2,0,458,151,13,14.2,.5 oz,62,"1 cup,  Cheez-its"
18965,"CRACKERS,CHS,RED FAT",418,418,10,68.19,0,1167,67,0,30,1 serving,,
18927,"CRACKERS,CHS,SANDWICH-TYPE W/ CHS FILLING",490,490,8.92,58.76,2.6,878,89,6,39,"6 cracker,  1 cracker = 6.5g",6.5,1 sandwich
18215,"CRACKERS,CHS,SANDWICH-TYPE W/PNUT BUTTER FILLING",496,496,12.41,56.74,0,829,50,0,14.2,.5 oz,83,"1 cup, crushed"
28303,"CRACKERS,CHS,WHL GRAIN",412,412,9.62,57.29,0,802,128,16,31,"1 serving,  55 pieces",,
18216,"CRACKERS,CRISPBREAD,RYE",366,366,7.9,82.2,0,410,31,0,14.2,.5 oz,55,"1 cup, crushed"
18961,"CRACKERS,CRM,GAMESA SABROSAS",484,484,7.01,64.55,,1148,26,,31,"11 crackers,  (1 NLEA serving)",3.1,1 cracker
18962,"CRACKERS,CRM,LA MODERNA RIKIS CRM CRACKERS",464,464,7.19,64.88,,752,734,,32,"10 crackers,  (1 NLEA serving)",3.1,1 cracker
28331,"CRACKERS,FLAV,FISH-SHAPED",463,463,10.16,65.67,,970,83,,5.2,10 goldfish,,
28344,"CRACKERS,GLUTEN-FREE,MULTIGRAIN & VEG,MADE W/ CORN STARCH &",456,456,2.5,76.94,,890,28,,10.7,3 crackers,,
28345,"CRACKERS,GLUTEN-FREE,MULTI-SEEDED & MULTIGRAIN",453,453,11.25,66.3,0,438,238,0,6.1,3 crackers,,
28327,"CRACKERS,H2O BISCUITS",384,384,7.14,72.81,0,571,0,0,14,"4 cracker,  1 serving",,
18218,"CRACKERS,MATZO,EGG",391,391,12.3,78.6,0.1,21,40,83,14.2,.5 oz,28,1 matzo
18400,"CRACKERS,MATZO,EGG&ONION",391,391,10,77.1,0.2,285,36,45,14.2,.5 oz,28,1 matzo
18217,"CRACKERS,MATZO,PLAIN",395,395,10,83.7,0,0,13,0,14.2,.5 oz,28,1 matzo
18219,"CRACKERS,MATZO,WHOLE-WHEAT",351,351,13.1,78.9,0,2,23,0,14.2,.5 oz,28,1 matzo
18220,"CRACKERS,MELBA TOAST,PLN",390,390,12.1,76.6,0,598,93,0,14.2,.5 oz,30,"1 cup, pieces"
18424,"CRACKERS,MELBA TOAST,PLN,WO/SALT",390,390,12.1,76.6,0,19,93,0,14.2,.5 oz,70,"1 cup, crushed"
18221,"CRACKERS,MELBA TOAST,RYE (INCL PUMPERNICKEL)",389,389,11.6,77.3,0,899,78,0,14.2,.5 oz,5,1 toast
18222,"CRACKERS,MELBA TOAST,WHEAT",374,374,12.9,76.4,0,837,43,0,14.2,.5 oz,5,1 toast
18223,"CRACKERS,MILK",446,446,7.6,71.73,0.2,687,172,11,14.2,.5 oz,11,1 cracker
28292,"CRACKERS,MULTIGRAIN",482,482,7.1,67.6,0,883,14,0,14,4 crackers,,
18224,"CRACKERS,RUSK TOAST",407,407,13.5,72.3,0,253,27,78,14.2,.5 oz,10,1 rusk
18225,"CRACKERS,RYE,SANDWICH-TYPE W/CHS FILLING",481,481,9.2,60.8,0.4,1044,222,9,14.2,.5 oz,7,"1 cracker,  sandwich"
18226,"CRACKERS,RYE,WAFERS,PLAIN",334,334,9.6,80.4,0.1,557,40,0,14.2,.5 oz,61,"1 cup, crushed"
18227,"CRACKERS,RYE,WAFERS,SEASONED",381,381,9,73.8,0.1,887,44,0,14.2,.5 oz,22,"1 cracker,  triple"
18228,"CRACKERS,SALTINES (INCL OYSTER,SODA,SOUP)",418,418,9.46,74.05,0,941,19,0,14.9,5 crackers,14.2,.5 oz
18457,"CRACKERS,SALTINES,FAT-FREE,LOW-SODIUM",393,393,10.5,82.3,0,849,22,0,15,3 saltines,30,6 saltines
18425,"CRACKERS,SALTINES,LO SALT (INCL OYSTER,SODA,SOUP)",421,421,9.5,74.34,0,198,119,0,14.2,.5 oz,45,"1 cup,  oyster crackers"
18426,"CRACKERS,SALTINES,UNSALTED TOPS (INCL OYSTER,SODA,SOUP)",434,434,9.2,71.5,0,766,119,0,14.2,.5 oz,3,1 cracker
18966,"CRACKERS,SALTINES,WHL WHEAT (INCLUDES MULTI-GRAIN)",398,398,7.14,68.25,0,1214,0,0,14,1 serving,,
28314,"CRACKERS,SANDWICH-TYPE,PNUT BUTTER FILLED,RED FAT",437,437,8.33,63.49,0,639,0,0,36,1 package,,
18960,"CRACKERS,SNACK,GOYA CRACKERS",433,433,14.25,64.35,,665,16,,30,"1 serving,  (1 NLEA serving - about 4 crackers)",12.7,1 cracker
18229,"CRACKERS,STD SNACK-TYPE,REG",510,510,6.64,61.3,0,726,120,0,16,5 crackers,16,"5 crackers, regular size, round (1 serving)"
18427,"CRACKERS,STD SNACK-TYPE,REG,LO SALT",502,502,7.4,61,0,216,120,0,14.2,.5 oz,62,"1 cup, bite size"
18230,"CRACKERS,STD SNACK-TYPE,SNDWCH,W/CHS FILLING",477,477,9.3,61.7,0.1,978,257,2,14.2,.5 oz,7,"1 cracker,  sandwich"
18231,"CRACKERS,STD SNACK-TYPE,SNDWCH,W/PNUT BUTTER FILLING",494,494,11.47,58.38,0,801,81,0,14.2,.5 oz,7,"1 cracker,  sandwich"
28308,"CRACKERS,STD SNACK-TYPE,W/ WHL WHEAT",463,463,7.29,68.37,0,748,167,0,15,"5 crackers,  1 serving",,
28325,"CRACKERS,TOAST THINS,LO NA",442,442,6.45,67.66,0,177,0,0,31,1 serving,,
18428,"CRACKERS,WHEAT,LOW SALT",473,473,8.6,64.9,0,190,49,0,14.2,.5 oz,83,"1 cup, crushed"
18950,"CRACKERS,WHEAT,RED FAT",444,444,9.34,71.52,0,776,80,0,29,1 serving,1.8,1 cracker
18232,"CRACKERS,WHEAT,REGULAR",455,455,7.3,70.73,0,699,92,0,34,"16 crackers,  1 serving",14.5,"2 crackers,  1 serving"
18233,"CRACKERS,WHEAT,SNDWCH,W/CHS FILLING",497,497,9.8,58.2,1.5,839,204,7,14.2,.5 oz,7,"1 cracker,  sandwich"
18234,"CRACKERS,WHEAT,SNDWCH,W/PNUT BUTTER FILLING",495,495,13.5,53.8,0,807,170,0,14.2,.5 oz,7,"1 cracker,  sandwich"
28326,"CRACKERS,WHL GRAIN,SANDWICH-TYPE,W/ PNUT BUTTER FILLING",465,465,14.12,54.59,0,635,33,0,43,"6 cracker,  1 serving",,
18235,"CRACKERS,WHOLE-WHEAT",427,427,10.58,69.55,0,704,36,0,28,1 serving,28,"6 crackers, Triscuits, regular size"
18429,"CRACKERS,WHOLE-WHEAT,LO SALT",443,443,8.8,68.6,0,186,50,0,14.2,.5 oz,94,"1 cup, crushed"
18949,"CRACKERS,WHOLE-WHEAT,RED FAT",416,416,11.34,75.52,0,745,39,0,29,1 serving,4.2,1 cracker
9079,"CRANBERRIES,DRIED,SWTND",308,308,0.17,82.8,0.2,5,9,0,40,.25 cup,,
9078,"CRANBERRIES,RAW",46,46,0.46,11.97,14,2,8,0,110,"1 cup, chopped",100,"1 cup, whole"
35029,"CRANBERRIES,WILD,BUSH,RAW (ALASKA NATIVE)",55,55,1.1,12.3,15,26,20,,,,,
9522,"CRANBERRY JUC BLEND,100% JUC,BTLD,W/ ADDED VIT C & CA",45,45,0.27,10.91,31.5,6,19,0,200,6.75 fl oz,240,8 fl oz
14242,"CRANBERRY JUC COCKTAIL,BTLD",54,54,0,13.52,42.3,2,3,0,31.6,1 fl oz,253,"1 cup,  (8 fl oz)"
14243,"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR",19,19,0.02,4.6,32.2,3,9,0,29.6,1 fl oz,237,"1 cup,  (8 fl oz)"
14430,"CRANBERRY JUC COCKTAIL,FRZ CONC",201,201,0.05,51.45,45.8,4,11,0,36.2,1 fl oz,435,"1 can,  (12 fl oz)"
14431,"CRANBERRY JUC COCKTAIL,FRZ CONC,PREP W/ H2O",47,47,0.01,11.81,10.5,4,5,0,29.6,1 fl oz,237,8 fl oz
43382,"CRANBERRY JUC,UNSWTND",46,46,0.39,12.2,9.3,2,8,0,253,1 cup,31.6,1 fl oz
9081,"CRANBERRY SAU,CND,SWTND",159,159,0.9,40.4,1,5,3,0,277,1 cup,57,"1 slice,  (1/2"" thick, approx 8 slices per can)"
9526,"CRANBERRY SAU,JELLIED,CND,OCEAN SPRAY",160,160,1.05,40.61,1,5,3,0,70,.25 cup,,
9525,"CRANBERRY SAU,WHL,CND,OCEAN SPRAY",158,158,0.75,40.4,1,5,3,0,70,.25 cup,,
35030,"CRANBERRY,LO BUSH OR LINGENBERRY,RAW (ALASKA NATIVE)",55,55,0.4,12.2,21,,26,,,,,
9082,"CRANBERRY-ORANGE RELISH,CND",178,178,0.3,46.2,18,32,11,0,275,1 cup,,
15243,"CRAYFISH,MXD SP,FARMED,CKD,MOIST HEAT",87,87,17.52,0,0.5,97,51,137,85,3 oz,,
15242,"CRAYFISH,MXD SP,FARMED,RAW",72,72,14.85,0,0.5,62,25,107,85,3 oz,27,8 crayfish
15146,"CRAYFISH,MXD SP,WILD,CKD,MOIST HEAT",82,82,16.77,0,0.9,94,60,133,85,3 oz,,
15145,"CRAYFISH,MXD SP,WILD,RAW",77,77,15.97,0,1.2,58,27,114,85,3 oz,27,8 crayfish
18237,"CREAM PUFF SHELL,PREP FROM RECIPE",360,360,9,22.8,0,483,36,171,28.35,1 oz,48,"1 eclair,  (5"" x 2"" x 1-3/4"")"
18969,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",334,334,4.41,37.43,0,265,35,66,113,4 oz,,
1205,"CREAM SUB,FLAV,LIQ",251,251,0.69,35.07,0,67,6,0,15,1 tbsp,,
1206,"CREAM SUB,FLAV,PDR",482,482,0.68,75.42,0,123,5,0,12,4 tsp,,
42141,"CREAM SUB,LIQ,LT",71,71,0.8,9.1,0,60,1,0,30,1 fl oz,242,1 cup
1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136,136,1,11.38,0,67,9,0,15,"1 container,  individual",30,1 fl oz
1068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136,136,1,11.38,0,79,9,0,15,"1 container,  individual",120,.5 cup
42136,"CREAM SUB,PDR,LT",431,431,1.9,73.4,0,229,1,0,94,1 cup,3,1 packet
1069,"CREAM SUBSTITUTE,POWDERED",529,529,2.48,59.29,0,124,2,0,94,1 cup,2,1 tsp
1049,"CREAM,FLUID,HALF AND HALF",123,123,3.13,4.73,0.9,61,107,35,30.2,1 fl oz,15,1 tbsp
1053,"CREAM,FLUID,HVY WHIPPING",340,340,2.84,2.74,0.6,27,66,113,120,"1 cup,  whipped",238,"1 cup, fluid (yields 2 cups whipped)"
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",191,191,2.96,2.82,0.8,72,91,59,30,1 fl oz,15,1 tbsp
1052,"CREAM,FLUID,LT WHIPPING",292,292,2.17,2.96,0.6,34,69,111,120,"1 cup,  whipped",239,"1 cup, fluid (yields 2 cups whipped)"
1199,"CREAM,HALF & HALF,FAT FREE",59,59,2.6,9,0.7,100,96,5,29,2 tbsp,484,1 pint
1303,"CREAM,HALF & HALF,LOWFAT",72,72,3.33,3.33,0,50,133,17,,,,
1056,"CREAM,SOUR,CULTURED",198,198,2.44,4.63,0.9,31,101,59,12,1 tbsp,230,1 cup
1055,"CREAM,SOUR,RED FAT,CULTURED",135,135,2.94,4.26,0.9,89,104,39,15,1 tbsp,242,1 cup
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,257,3.2,12.49,0,8,101,76,60,1 cup,3,1 tbsp
42116,"CREAMY DRSNG,MADE W/SOUR CRM AND/OR BTTRMLK&OIL,RED CAL",160,160,1.5,7,0.4,833,6,0,15,1 tbsp,245,1 cup
42158,"CREAMY DRSNG,W/SOUR CRM AND/OR BTTRMLK&OIL,RED CAL,CHOL-FREE",140,140,1,16,0,932,36,0,15,1 tbsp,234,1 cup
11781,"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",23,23,1.9,3.8,23,244,61,0,135,1 cup,,
11204,"CRESS,GARDEN,CKD,BLD,DRND,WO/SALT",23,23,1.9,3.8,23,8,61,0,135,1 cup,68,.5 cup
11203,"CRESS,GARDEN,RAW",32,32,2.6,5.5,69,14,81,0,50,1 cup,1,1 sprig
19403,"CRISPED RICE BAR,ALMOND",458,458,7,64.6,11.5,234,74,0,28,"1 bar,  (1 oz)",,
19010,"CRISPED RICE BAR,CHOC CHIP",404,404,5.1,73,0,278,21,0,28,"1 bar,  (1 oz)",,
21462,"CRISPY CHICK,BACON,& TOMATO CLUB SNDWCH,W/ CHS,LETUCE,& MAYO",257,257,15.38,22.61,3.8,605,92,38,271,1 sandwich,,
42157,"CRMY DRSG,MDE W/ SOUR CRM AND/OR BTRMLK & OIL,RED CAL,FTFREE",107,107,1.4,20,0,897,36,0,17,1 tbsp,264,1 cup
15021,"CROAKER,ATLANTIC,CKD,BREADED&FRIED",221,221,18.2,7.54,0,348,32,84,87,1 fillet,85,3 oz
15020,"CROAKER,ATLANTIC,RAW",104,104,17.78,0,0,56,15,61,79,1 fillet,85,3 oz
18240,"CROISSANTS,APPLE",254,254,7.4,37.1,0.5,274,30,31,28.35,1 oz,57,"1 croissant,  medium"
18239,"CROISSANTS,BUTTER",406,406,8.2,45.8,0.2,467,37,67,28.35,1 oz,28,"1 croissant,  mini"
18241,"CROISSANTS,CHEESE",414,414,9.2,47,0.2,361,53,57,28.35,1 oz,42,"1 croissant,  small"
18242,"CROUTONS,PLAIN",407,407,11.9,73.5,0,698,76,0,14.2,.5 oz,30,1 cup
18243,"CROUTONS,SEASONED",465,465,10.8,63.5,0,1089,96,7,14.2,.5 oz,40,1 cup
28355,"CRUNCHMASTER,MULTI-GRAIN CRISPS,SNACK CRACKERS,GLUTEN-FREE",456,456,10.91,67.18,,370,246,,3.9,3 crackers,,
15142,"CRUSTACEANS,CRAB,BLUE,CRAB CAKES,HOME RECIPE",155,155,20.21,0.48,2.8,330,105,150,60,1 cake,,
15271,"CRUSTACEANS,SHRIMP,CKD (NOT PREVIOUSLY FROZEN)",99,99,23.98,0.2,,111,70,189,85,3 oz,,
15151,"CRUSTACEANS,SHRIMP,MXD SP,CKD,MST HT (MAYBE PREVIOUSLY FRZ)",119,119,22.78,1.52,0,947,91,211,85,3 oz,22,4 large
15149,"CRUSTACEANS,SHRIMP,MXD SP,RAW (MAYBE PREVIOUSLY FROZEN)",71,71,13.61,0.91,0,566,54,126,6,1 medium,5,1 small
15270,"CRUSTACEANS,SHRIMP,RAW (NOT PREVIOUSLY FROZEN)",85,85,20.1,0,,119,64,161,85,3 oz,,
11206,"CUCUMBER,PEELED,RAW",12,12,0.59,2.16,3.2,2,14,0,133,"1 cup, pared chopped",119,"1 cup, sliced"
11205,"CUCUMBER,WITH PEEL,RAW",15,15,0.65,3.63,2.8,2,16,0,52,".5 cup, slices",301,"1 cucumber,  (8-1/4"")"
2014,CUMIN SEED,375,375,17.81,44.24,7.7,168,931,0,2.1,"1 tsp, whole",6,"1 tbsp, whole"
9083,"CURRANTS,EUROPEAN BLACK,RAW",63,63,1.4,15.38,181,2,55,0,112,1 cup,,
9084,"CURRANTS,RED&WHITE,RAW",56,56,1.4,13.8,41,1,33,0,112,1 cup,,
9085,"CURRANTS,ZANTE,DRIED",283,283,4.08,74.08,4.7,8,86,0,144,1 cup,,
2015,CURRY POWDER,325,325,14.29,55.83,0.7,52,525,0,2,1 tsp,6.3,1 tbsp
15193,"CUSK,COOKED,DRY HEAT",112,112,24.35,0,0,40,13,53,95,1 fillet,85,3 oz
15022,"CUSK,RAW",87,87,18.99,0,0,31,10,41,122,1 fillet,85,3 oz
9086,"CUSTARD-APPLE,(BULLOCK'S-HEART),RAW",101,101,1.7,25.2,19.2,4,30,0,,,,
15229,"CUTTLEFISH,MXD SP,CKD,MOIST HEAT",158,158,32.48,1.64,8.5,744,180,224,85,3 oz,,
15163,"CUTTLEFISH,MXD SP,RAW",79,79,16.24,0.82,5.3,372,90,112,85,3 oz,,
11207,"DANDELION GREENS,RAW",45,45,2.7,9.2,35,76,187,0,55,"1 cup, chopped",,
11782,"DANDELION GRNS,CKD,BLD,DRND,W/SALT",33,33,2,6.4,18,280,140,0,105,"1 cup, chopped",,
11208,"DANDELION GRNS,CKD,BLD,DRND,WO/SALT",33,33,2,6.4,18,44,140,0,105,"1 cup, chopped",,
18245,"DANISH PASTRY,CHEESE",374,374,8,37.2,0.1,417,35,23,28.35,1 oz,71,1 pastry
18244,"DANISH PASTRY,CINN,ENR",403,403,7,44.6,0.1,414,71,21,28.35,1 oz,142,"1 large,  (approx 7"" dia)"
18430,"DANISH PASTRY,CINN,UNENR",403,403,7,44.6,0.2,371,71,21,28.35,1 oz,142,"1 large,  (approx 7"" dia)"
18246,"DANISH PASTRY,FRUIT,ENR",371,371,5.4,47.8,3.9,445,46,114,28.35,1 oz,142,"1 large,  (approx 7"" dia)"
18431,"DANISH PASTRY,FRUIT,UNENR (INCL APPL,CINN,RAISIN,STRAWBERRY)",371,371,5.4,47.8,3.9,354,46,40,28.35,1 oz,142,"1 container,  (3 oz)"
18433,"DANISH PASTRY,LEMON,UNENR",371,371,5.4,47.8,3.9,354,46,40,28.35,1 oz,71,1 pastry
18247,"DANISH PASTRY,NUT (INCL ALMOND,RAISIN NUT,CINN NUT)",430,430,7.1,45.7,1.7,298,94,46,28.35,1 oz,65,"1 pastry,  (4-1/4"" dia)"
18435,"DANISH PASTRY,RASPBERRY,UNENR",371,371,5.4,47.8,3.9,354,46,40,28.35,1 oz,71,"1 pastry,  (4-1/4"" dia)"
9087,"DATES,DEGLET NOOR",282,282,2.45,75.03,0.4,2,39,0,147,"1 cup, chopped",7.1,"1 date, pitted"
9421,"DATES,MEDJOOL",277,277,1.81,74.97,0,1,64,,24,"1 date, pitted",,
35080,"DEER (VENISON),SITKA,RAW (ALASKA NATIVE)",116,116,21.5,0,0,,7,18,,,,
36614,"DENNY'S,CHICK NUGGETS,STAR SHAPED,FROM KID'S MENU",377,377,16.27,13.59,,644,16,57,67,"1 serving,  4 pieces in serving",16,1 piece
36027,"DENNY'S,CHICK STRIPS",295,295,19.17,22.03,,798,11,44,194,1 serving,,
36028,"DENNY'S,COLESLAW",183,183,0.97,10.88,13.2,376,32,23,91,1 serving,,
36029,"DENNY'S,FISH FILLET,BATTERED OR BREADED,FRIED",234,234,13.75,17.41,,516,14,37,201,1 serving,,
36610,"DENNY'S,FRENCH FR",282,282,3.41,35.2,1.6,44,14,0,165,1 serving,,
36612,"DENNY'S,GOLDEN FRIED SHRIMP",319,319,13.88,20.93,,1400,47,83,16,1 piece,100,1 serving
36030,"DENNY'S,HASH BROWNS",197,197,2.49,26.59,0,468,17,,124,1 serving,94,1 cup
36613,"DENNY'S,MACARONI & CHS,FROM KID'S MENU",150,150,5.19,21.16,,300,83,7,180,1 serving,134,1 cup
36611,"DENNY'S,MOZZARELLA CHS STKS",324,324,13.56,27.22,,1008,331,32,228,1 serving,27,1 piece
36031,"DENNY'S,ONION RINGS",385,385,5.29,41.05,,780,22,,166,1 serving,,
36032,"DENNY'S,SPAGHETTI & MEATBALLS",170,170,7.84,15.51,0.9,351,45,19,565,1 serving,134,1 cup
36615,"DENNY'S,TOP SIRLOIN STEAK",182,182,28.9,0.14,,349,6,82,107,1 steak,,
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194,194,3.61,17.13,0.7,66,90,10,80,1 cup,4,1 tbsp
1070,"DESSERT TOPPING,POWDERED",577,577,4.9,52.54,0,122,17,0,43,1.5 oz,1.3,"1 portion,  amount to make 1 tbsp"
1072,"DESSERT TOPPING,PRESSURIZED",264,264,0.98,16.07,0,62,5,0,70,1 cup,4,1 tbsp
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",318,318,1.25,23.05,0,25,6,0,75,1 cup,4,1 tbsp
19186,"DESSERTS,APPL CRISP,PREPARED-FROM-RECIPE",161,161,1.75,30.84,2.2,351,35,0,141,.5 cup,844,"1 recipe,  yield"
19168,"DESSERTS,EGG CUSTARD,BKD,PREPARED-FROM-RECIPE",104,104,5.02,11,0,61,107,84,141,.5 cup,563,"1 recipe,  yield"
19094,"DESSERTS,FLAN,CARAMEL CUSTARD,PREPARED-FROM-RECIPE",145,145,4.53,22.78,0,53,83,90,153,.5 cup,1531,"1 recipe,  yield"
19182,"DESSERTS,MOUSSE,CHOC,PREPARED-FROM-RECIPE",225,225,4.14,16.07,0.1,38,96,140,808,"1 recipe,  yield",202,.5 cup
19188,"DESSERTS,PUDD,CHOC,DRY MIX,REG",362,362,2.6,89.3,0,479,53,0,99,"1 package,  (3.5 oz)",25,"1 portion,  amount to make 1/2 cup"
19322,"DESSERTS,PUDD,COCNT CRM,DRY MIX,INST",415,415,0.9,83.5,0.3,1040,8,0,99,"1 package,  (3.5 oz)",25,"1 portion,  amount to make 1/2 cup"
19220,"DESSERTS,RENNIN,CHOC,DRY MIX",363,363,2.4,91.5,0,187,166,0,9,1 tbsp,57,"1 package,  (2 oz)"
19225,"DESSERTS,RENNIN,TABLETS,UNSWTND",84,84,1,19.8,0,26050,3733,0,9.9,"1 package,  (0.35 oz)",,
19222,"DESSERTS,RENNIN,VANILLA,DRY MIX",383,383,0,99,0,6,117,0,10.8,1 tbsp,43,"1 package,  (1.5 oz)"
21473,"DIGIORNO PIZZA,CHS TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,279,13.48,29.86,0.5,806,235,28,164,"1 slice, 1/4 of pie",688,"1 pie, 12"" diameter"
21474,"DIGIORNO PIZZA,CHS TOPPING,RISING CRUST,FRZ,BKD",256,256,12.8,31.78,1.5,696,192,15,183,"1 slice, 1/4 of pie",729,"1 pie, 12"" diameter"
21475,"DIGIORNO PIZZA,CHS TOPPING,THIN CRISPY CRUST,FRZ,BKD",247,247,12.96,26.47,0.1,506,275,21,161,"1 slice, 1/4 of pie",643,"1 pie, 23 oz"
21476,"DIGIORNO PIZZA,PEPPERONI TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,279,13.92,29.46,1.1,753,226,24,179,"1 slice, 1/4 of pie",732,"1 pie, 12"" diameter"
21477,"DIGIORNO PIZZA,PEPPERONI TOPPING,RISING CRUST,FRZ,BKD",265,265,12.46,31.15,1.3,743,157,18,207,"1 slice, 1/4 of pie",759,"1 pie, 12"" diameter"
21478,"DIGIORNO PIZZA,PEPPERONI TOPPING,THIN CRISPY CRUST,FRZ,BKD",283,283,13.22,28.67,0.9,663,209,28,145,"1 slice, 1/4 of pie",548,"1 pie, 22.1 oz"
21479,"DIGIORNO PIZZA,SUPREME TOPPING,RISING CRUST,FRZ,BKD",255,255,11.74,27.93,,712,139,19,227,"1 slice, 1/4 of pie",876,"1 pie, 12"" diameter"
21480,"DIGIORNO PIZZA,SUPREME TOPPING,THIN CRISPY CRUST,FRZ,BKD",255,255,11.41,28.05,0.8,555,161,20,155,"1 slice, 1/4 of pie",595,"1 pie, 24.8 oz"
2016,DILL SEED,305,305,15.98,55.17,21,20,1516,0,2.1,1 tsp,6.6,1 tbsp
2017,"DILL WEED,DRIED",253,253,19.96,55.82,50,208,1784,0,1,1 tsp,3.1,1 tbsp
2045,"DILL WEED,FRSH",43,43,3.46,7.02,85,61,208,0,1,5 sprigs,8.9,"1 cup, sprigs"
27065,"DIP,BEAN,ORIGINAL FLAVOR",119,119,5.44,15.89,0.6,443,26,0,36,2 tbsp,259,"1 container, (9 oz)"
27068,"DIP,FRITO'S,BEAN,ORIGINAL FLAVOR",119,119,5.44,15.89,,443,26,,36,2 tbsp,259,"1 container, (9oz)"
27053,"DIP,OLD EL PASO,CHS 'N SALSA,MED",129,129,2.7,10.65,0.8,690,81,5,32,2 tbsp,124,.5 cup
27052,"DIP,SALSA CON QUESO,CHS & SALSA- MED",143,143,3.14,11.14,0.4,796,98,9,30,2 tbsp,125,.5 cup
27054,"DIP,TOSTITOS,SALSA CON QUESO,MED",133,133,2.92,11.72,0.6,773,90,9,30,2 tbsp,125,.5 cup
11925,"DOCK,CKD,BLD,DRND,W/SALT",20,20,1.83,2.93,26.3,239,38,0,,,,
11617,"DOCK,CKD,BLD,DRND,WO/SALT",20,20,1.83,2.93,26.3,3,38,0,,,,
11616,"DOCK,RAW",22,22,2,3.2,48,4,44,0,133,"1 cup, chopped",,
21277,"DOMINO'S 14"" CHS PIZZA,CLASSIC HAND-TOSSED CRUST",257,257,10.8,33.24,0.9,523,167,17,108,1 slice,865,1 pizza
21279,"DOMINO'S 14"" CHS PIZZA,CRUNCHY THIN CRUST",298,298,12.33,28.18,1.7,628,292,27,70,1 slice,540,1 pizza
21278,"DOMINO'S 14"" CHS PIZZA,ULTIMATE DEEP DISH CRUST",265,265,10.76,33.48,0.4,615,166,16,118,1 slice,947,1 pizza
21282,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZA,CLSSIC HAND-TOSSED CRST",244,244,10.33,25.72,0,456,113,20,151,1 slice,1224,1 pizza
21280,"DOMINO'S 14"" PEPPERONI PIZZA,CLASSIC HAND-TOSSED CRUST",273,273,11.25,31.86,0.8,611,141,25,113,1 slice,907,1 pizza
21492,"DOMINO'S 14"" PEPPERONI PIZZA,CRUNCHY THIN CRUST",328,328,13.88,25.35,1.2,783,236,38,79,1 slice,563,1 pizza
21281,"DOMINO'S 14"" PEPPERONI PIZZA,ULTIMATE DEEP DISH CRUST",283,283,11.52,31.89,0.4,693,149,24,123,1 slice,984,1 pizza
21494,"DOMINO'S 14"" SAUSAGE PIZZA,CLASSIC HAND-TOSSED CRUST",273,273,11.08,31.84,0.6,594,137,21,114,1 slice,913,1 pizza
21493,"DOMINO'S 14"" SAUSAGE PIZZA,CRUNCHY THIN CRUST",319,319,12.77,25.3,1.1,725,234,35,78,1 slice,597,1 pizza
21495,"DOMINO'S 14"" SAUSAGE PIZZA,ULTIMATE DEEP DISH CRUST",277,277,11.03,31.17,0.4,677,154,23,129,1 slice,1032,1 pizza
18255,"DOUGHNUTS, YEAST-LEAVENED, GLAZED, ENRICHED (INC HONEY BUNS)",421,421,6.14,47.93,1.2,316,101,30,28.35,1 oz,13,"1 doughnut, hole"
18251,"DOUGHNUTS,CAKE-TYPE,CHOC,SUGARED OR GLAZED",417,417,4.5,57.4,0.1,215,213,57,28.35,1 oz,60,"1 doughnut,  (3-3/4"" dia)"
18248,"DOUGHNUTS,CAKE-TYPE,PLN (INCLUDES UNSUGARED,OLD-FASHIONED)",434,434,5.31,47.06,0,477,40,10,40,1 donut,28.35,1 oz
