NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
14109,"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",74,74,0.07,2.4,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14105,"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",83,83,0.07,3.01,,,,,29.5,1 fl oz,147,"1 serving,  (5 fl oz)"
14158,"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",78,78,0.07,2.38,,,,,29.4,1 fl oz,147,"1 serving,  5 fl oz"
14107,"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",80,80,0.07,2.46,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14602,"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83,83,0.07,2.51,0,4,8,,29.4,1 fl oz,147,"1 serving,  5 fl oz"
14159,"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",88,88,0.07,2.64,,,,,29.4,1 fl oz,147,"1 serving,  5 fl oz"
14103,"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85,85,0.07,2.68,,,,,29.5,1 fl oz,147,"1 serving,  (5 fl oz)"
14099,"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",82,82,0.07,2.31,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14108,"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",86,86,0.07,2.62,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14100,"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",83,83,0.07,2.58,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14102,"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",88,88,0.07,2.86,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",82,82,0.07,2.6,0,5,9,0,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14160,"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY",84,84,0.07,2.16,0,5,9,,29.3,1 fl oz,147,"1 serving,  5 fl oz"
14116,"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",80,80,0.07,3.31,,,,,29.5,1 fl oz,148,"1 serving,  (5 fl oz)"
14117,"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",82,82,0.07,2.27,,,,,29.3,1 fl oz,147,"1 serving,  (5 fl oz)"
14124,"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",81,81,0.07,2.6,,,,,29.5,1 fl oz,147,"1 serving,  (5 fl oz)"
14135,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112,112,0.07,13.39,,,,,30.8,1 fl oz,154,"1 serving,  (5 fl oz)"
14125,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER",108,108,0.07,11.39,,,,,30.5,1 fl oz,152,"1 serving,  (5 fl oz)"
14120,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",76,76,0.07,3.48,,,,,29.5,1 fl oz,148,"1 serving,  (5 fl oz)"
14140,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",82,82,0.07,5.23,,,,,30,1 fl oz,150,"1 serving,  (5 fl oz)"
14138,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",81,81,0.07,1.94,,,,,29.3,1 fl oz,147,"1 serving,  (5 fl oz)"
14113,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",83,83,0.07,2.06,,,,,29.3,1 fl oz,147,"1 serving,  (5 fl oz)"
14132,"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",80,80,0.07,3.74,,,,,29.6,1 fl oz,148,"1 serving,  (5 fl oz)"
14134,"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",81,81,0.07,2.05,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14126,"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",82,82,0.07,3.12,,,,,29.5,1 fl oz,148,"1 serving,  (5 fl oz)"
14251,"ALCOHOLIC BEVERAGES,BEER,HIGHER ALCOHOL",58,58,0.9,0.27,0,4,8,0,30.6,1 fl oz,355,1 bottle
14253,"ALCOHOLIC BEVERAGES,WINE,ROSE",83,83,0.36,3.8,0,5,10,0,30.3,1 fl oz,,
11001,"ALFALFA SEEDS,SPROUTED,RAW",23,23,3.99,2.1,8.2,6,32,0,33,1 cup,3,1 tbsp
2001,"ALLSPICE,GROUND",263,263,6.09,72.12,39.2,77,661,0,1.9,1 tsp,6,1 tbsp
12695,"ALMOND BUTTER,PLN,W/SALT",614,614,20.96,18.82,0,227,347,0,16,1 tbsp,250,1 cup
12195,"ALMOND BUTTER,PLN,WO/SALT",614,614,20.96,18.82,0,7,347,0,16,1 tbsp,250,1 cup
12071,ALMOND PASTE,458,458,9,47.81,0.1,9,172,0,28.35,1 oz,227,"1 cup,  firmly packed"
12061,ALMONDS,579,579,21.15,21.55,0,1,269,0,143,"1 cup, whole",92,"1 cup, sliced"
12062,"ALMONDS,BLANCHED",590,590,21.4,18.67,0,19,236,0,145,"1 cup, whole kernels",9.1,1 tbsp
12563,"ALMONDS,DRY RSTD,W/SALT",598,598,20.96,21.01,0,498,268,0,138,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)"
