No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
213,Ikan Asin kering,193,42,0,0,40,200,1.5,1 potong,25
214,Ikan Asin pari goreng,430,58.2,0,0,0,16,23.6,1 potong,13
215,Ikan Asin pepetek goreng,652,40.4,0,0,0,199.5,54.3,1 ekor,24
216,Ikan Asin sirinding goreng,319,6.9,0,0,0,1.3,31.7,1 sdm,12
217,Ikan Asin teri goreng,430,33.4,0,0,0,1201,32.4,1 sdm,15
218,Ikan Bader (Tawes),198,19,0,0,66,48,13,1 ekor,191.8
219,Ikan Bandeng,129,20,0,0,74,20,4.8,1 potong,82
220,Ikan Bawal,96,19,0,0,78,20,1.7,1 ekor,132.2
221,Ikan Bekasang,138,14,7.4,0,69,40,0.7,1 potong,85.6
222,Ikan Belut Segar goreng,417,25.9,32,0,11.2,840,19.4,1 ekor,24
223,Ikan Belut Segar mentah,82,6.7,10.9,0,79.6,390,1,1 ekor,44.2
224,Ikan Beunteur,66,14,0,0,84,40,0,1 kg,1000
225,Ikan Ekor Kuning,109,17,0,0,70,500,4,1 buah,100
226,Ikan Gabus kering,292,58,0,0,24,15,4,1 ekor,60.4
227,Ikan Gabus segar,74,25.2,0,0,69.4,62,1.7,1 ekor,212.2
228,Ikan Hiu,89,20.1,0,0,78.3,25,0.3,1 kg,1000
229,Ikan Kembung,103,22,0,0,76,20,1,1 ekor,159.6
230,Ikan Layang,109,22,0,0,74,50,1.7,1 potong,43
231,Ikan Lele goreng,252,19.9,0,0,0,23.8,19.1,1 ekor,128.6
232,Ikan Lemuru,112,20,0,0,76,20,3,1 potong,45.8
233,Ikan Mas,86,16,0,0,80,20,2,1 ekor,178
234,Ikan Mas goreng,188,19.3,0,0,0,0.1,12.2,1 ekor,121
235,Ikan Mujair dendeng goreng,598,74.3,9.2,0,6.5,1957,26.9,1 ekor,30.4
236,Ikan Mujair dendeng mentah,582,68.3,37.2,0,15.2,3258,15.2,1 ekor,22.4
237,Ikan Mujair goreng,416,46.9,0,0,44.7,346,23.9,1 ekor,66
238,Ikan Mujair pepes,121,21.7,0.8,0,73.7,83,2.8,1 ekor,95.2
239,Ikan Mujair segar,89,18.7,0,0,79.7,96,1,1 ekor,136
240,Ikan Pepetek,176,32,0,0,33,120,4.4,1 ekor,29.6
241,Ikan Segar,113,17,0,0,76,20,4.5,1 potong,50
242,Ikan Selar kering,194,38,0,0,43,20,3.5,1 ekor,14.8
243,Ikan Selar segar,100,18.8,0,0,75.4,40,2.2,1 ekor,0
244,Ikan Sepat kering,289,38,0,0,30,40,14,1 ekor,12.4
245,Ikan Tembang,204,16,0,0,56,20,15,1 ekor,10.9
246,Ikan Teri Kering tawar,331,68.7,0,0,16.7,2381,4.2,1 sdm,15
247,Ikan Teri Nasi kering,144,32.5,0,0,34.5,1000,0.6,1 sdm,6.6
248,Ikan Teri bubuk,277,60,1.8,0,15,1209,2.3,1 sdm,5.4
249,Ikan Teri kering,170,33.4,0,0,37.8,1200,3,1 sdm,8
250,Ikan Teri segar,77,16,0,0,80,500,1,1 sdm,15
251,Ikan Teri tepung,347,48.8,19.6,0,5.2,4608,6.4,1 sdm,4.9
252,Kacang Tunggak rempeyek,451,11.2,59.7,0,6.1,156,20.2,1 buah,20.6
253,Katak,73,16.4,0,0,81.9,18,0.3,1 ekor,51.9
254,Keong,64,12,2,0,81,217,1,1 buah,12
255,Kepiting,151,13.8,14.1,0,68.1,210,3.8,1 potong,106.6
256,Kerang,59,18,3.6,0,85,133,1.1,1 buah,9
257,Kerupuk Ikan berpati,342,16,65.6,0,16,2,0.4,1 buah,4.8
