No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
21274,"PIZZA HUT 12"" PEPPERONI PIZZAHAND-TOSSED CRUST",280,12.86,31.55,0,41.35,155,26,1 slice,96
21275,"PIZZA HUT 12"" PEPPERONI PIZZAPAN CRUST",298,11.97,30.49,0,40.8,146,25,1 slice,96
21276,"PIZZA HUT 12"" SUPER SUPREME PIZZAHAND-TOSSED CRUST",243,10.9,25.62,0,50.2,129,20,1 slice,127
21293,"PIZZA HUT 14"" CHS PIZZAHAND-TOSSED CRUST",275,11.98,33.42,2,41.48,209,18,1 slice,105
21294,"PIZZA HUT 14"" CHS PIZZAPAN CRUST",276,10.85,32.85,1.9,42.68,192,18,1 slice,112
21512,"PIZZA HUT 14"" CHS PIZZASTUFFED CRUST",274,12.23,30,3.1,43.37,238,30,1 slice,117
21295,"PIZZA HUT 14"" CHS PIZZATHIN 'N CRISPY CRUST",306,13.37,34.22,4.2,36.27,284,30,1 slice,79
21296,"PIZZA HUT 14"" PEPPERONI PIZZAHAND-TOSSED CRUST",291,12.23,32.11,1,40.15,166,26,1 slice,110
21297,"PIZZA HUT 14"" PEPPERONI PIZZAPAN CRUST",291,11.47,31.79,1,41.17,147,23,1 slice,113
21491,"PIZZA HUT 14"" PEPPERONI PIZZATHIN 'N CRISPY CRUST",333,14.13,32.66,2.8,33.57,196,37,1 slice,80
21497,"PIZZA HUT 14"" SAUSAGE PIZZAHAND-TOSSED CRUST",287,11.92,29.39,2.8,42.57,150,26,1 slice,119
21498,"PIZZA HUT 14"" SAUSAGE PIZZAPAN CRUST",287,11.08,29.56,1.6,43.33,132,23,1 slice,125
21496,"PIZZA HUT 14"" SAUSAGE PIZZATHIN 'N CRISPY CRUST",323,13.95,28.7,3,37.28,193,37,1 slice,92
21298,"PIZZA HUT 14"" SUPER SUPREME PIZZAHAND-TOSSED CRUST",248,11.34,26.01,0.6,49.15,104,28,1 slice,123
21525,PIZZA HUTBREADSTICKPARMESAN GARLIC,343,12.2,44.48,0,28.38,87,7,1 breadstick,43
21277,"DOMINO'S 14"" CHS PIZZACLASSIC HAND-TOSSED CRUST",257,10.8,33.24,0.9,44.87,167,17,1 slice,108
21279,"DOMINO'S 14"" CHS PIZZACRUNCHY THIN CRUST",298,12.33,28.18,1.7,41.58,292,27,1 slice,70
21278,"DOMINO'S 14"" CHS PIZZAULTIMATE DEEP DISH CRUST",265,10.76,33.48,0.4,43.42,166,16,1 slice,118
21282,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZACLSSIC HAND-TOSSED CRST",244,10.33,25.72,0,50.77,113,20,1 slice,151
21280,"DOMINO'S 14"" PEPPERONI PIZZACLASSIC HAND-TOSSED CRUST",273,11.25,31.86,0.8,43.4,141,25,1 slice,113
21492,"DOMINO'S 14"" PEPPERONI PIZZACRUNCHY THIN CRUST",328,13.88,25.35,1.2,38.53,236,38,1 slice,79
21281,"DOMINO'S 14"" PEPPERONI PIZZAULTIMATE DEEP DISH CRUST",283,11.52,31.89,0.4,41.9,149,24,1 slice,123
21494,"DOMINO'S 14"" SAUSAGE PIZZACLASSIC HAND-TOSSED CRUST",273,11.08,31.84,0.6,43.55,137,21,1 slice,114
21493,"DOMINO'S 14"" SAUSAGE PIZZACRUNCHY THIN CRUST",319,12.77,25.3,1.1,40.38,234,35,1 slice,78
21495,"DOMINO'S 14"" SAUSAGE PIZZAULTIMATE DEEP DISH CRUST",277,11.03,31.17,0.4,43.12,154,23,1 slice,129
21251,BURGER KING CHSBRGR,286,14.57,23.71,0.2,44.59,93,45,1 item,133
21256,BURGER KINGCHICK STRIPS,292,18.2,20.49,1.1,43.02,13,44,1 strip,36
21385,BURGER KINGCROISSAN'WICH W/ EGG & CHS,283,10.35,24.79,0,46.4,231,139,1 item,110
21384,BURGER KINGCROISSAN'WICH W/ SAUSAGE & CHS,376,13.73,23,0,35.08,107,43,1 item,131
21383,BURGER KINGCROISSAN'WICH W/ SAUSAGEEGG & CHS,308,12.09,15.9,0,48.1,90,123,1 sandwich,171
21506,BURGER KINGDOUBLE CHEESEBURGER,282,16.83,17.43,0,47.37,120,0,1 sandwich,162
21254,BURGER KINGDOUBLE WHOPPERNO CHS,252,13.94,13.74,0.2,55.29,35,46,1 item,374
21255,BURGER KINGDOUBLE WHOPPERW/ CHS,266,14.47,13.52,0.2,53.28,78,47,1 item,399
21249,BURGER KINGFRENCH FR,280,3.23,38.7,2.2,43.95,17,0,1 small serving,74
21386,BURGER KINGFRENCH TOAST STKS,349,6,41.21,0,33.57,53,0,1 stick,21
21250,BURGER KINGHAMBURGER,261,14.85,26.76,0.2,45.97,76,35,1 sandwich,99
21387,BURGER KINGHASH BROWN ROUNDS,302,2.8,29.37,4.3,46.34,15,0,1 piece,5.6
21509,BURGER KINGONION RINGS,417,3.86,43.58,1.4,24.52,115,0,1 small,91
21259,BURGER KINGORIGINAL CHICK SNDWCH,286,12.14,26.22,0.2,44.7,46,31,1 sandwich,199
21258,BURGER KINGPREMIUM FISH SNDWCH,260,10.29,26.69,0.2,48.44,37,31,1 sandwich,220
21141,BURGER KINGVANILLA SHAKE,168,3.19,19.03,0,68.13,104,31,1 fl oz,24.8
21252,BURGER KINGWHOPPERNO CHS,233,10.74,18.55,0.2,56.43,39,30,1 item,291
21253,BURGER KINGWHOPPERW/ CHS,250,11.19,16.7,0.2,54.92,82,36,1 item,316
22918,BURRITO BEAN AND CHEESE FROZEN,221,7.07,34.01,0.3,50.99,52,2,1 burrito,129
22917,BURRITOBF & BEANFRZ,239,7.26,30.84,0.8,50.48,34,8,1 burrito frozen,139
22928,BURRITOBF & BEANMICROWAVED,298,8.73,38.95,1,38.14,39,9,1 burrito cooked,116
